section,rank,lags,score,median_signal_strength,stability_penalty,phi_std_sum,mean_abs_phi,max_abs_phi,n_lags
1s_mid,21,"(540,)",-0.004795587068731054,0.0,0.004795587068731054,0.004795587068731054,0.0012780427384176723,0.04056907252440187,1
1s_mid,22,"(52,)",-0.0048783726853857245,0.0,0.0048783726853857245,0.0048783726853857245,0.0014613430881491823,0.048631819096950954,1
1s_mid,23,"(48,)",-0.004928627119881749,0.0,0.004928627119881749,0.004928627119881749,0.0013688524702269403,0.05151506108879038,1
1s_mid,24,"(300,)",-0.004935629105643549,0.0,0.004935629105643549,0.004935629105643549,0.0013783876921535884,0.04775256942499588,1
1s_mid,25,"(100,)",-0.0049470359331384006,0.0,0.0049470359331384006,0.0049470359331384006,0.001462715037016375,0.04022308327585446,1
1s_mid,26,"(140,)",-0.00494813031250973,0.0,0.00494813031250973,0.00494813031250973,0.001490151994873783,0.0350468719278945,1
1s_mid,27,"(360,)",-0.004969515098830543,0.0,0.004969515098830543,0.004969515098830543,0.0014809601901348084,0.04054486994512006,1
1s_mid,28,"(590,)",-0.00501212146726,0.0,0.00501212146726,0.00501212146726,0.0015086255816578883,0.03254225999172831,1
1s_mid,29,"(350,)",-0.005023932367577538,0.0,0.005023932367577538,0.005023932367577538,0.0015548715136227283,0.03986779855212828,1
1s_mid,30,"(190,)",-0.005052781255029004,0.0,0.005052781255029004,0.005052781255029004,0.0014337824898602758,0.04644214647613433,1
1s_micro,1,"(140,)",-0.004366469810031548,0.0,0.004366469810031548,0.004366469810031548,0.0013381237546707867,0.0335698086351714,1
1s_micro,2,"(530,)",-0.004404607035531613,0.0,0.004404607035531613,0.004404607035531613,0.0012868335451681342,0.03845757034154319,1
1s_micro,3,"(270,)",-0.004472757534763054,0.0,0.004472757534763054,0.004472757534763054,0.0013375559631971616,0.03729580959179998,1
1s_micro,4,"(580,)",-0.004486839551745161,0.0,0.004486839551745161,0.004486839551745161,0.0012808988363766309,0.035551398813434686,1
1s_micro,5,"(590,)",-0.004584114933511705,0.0,0.004584114933511705,0.004584114933511705,0.0013284155603146709,0.04000138818924698,1
1s_micro,6,"(400,)",-0.004597305647149598,0.0,0.004597305647149598,0.004597305647149598,0.0014195624446778799,0.03166223449790651,1
1s_micro,7,"(520,)",-0.004616499830537873,0.0,0.004616499830537873,0.004616499830537873,0.0013372564218009362,0.05052556769464795,1
1s_micro,8,"(150,)",-0.0046873209733559245,0.0,0.0046873209733559245,0.0046873209733559245,0.001447566131365951,0.03402839166587828,1
1s_micro,9,"(57,)",-0.004687630609636066,0.0,0.004687630609636066,0.004687630609636066,0.0014554467762285823,0.04215250366603066,1
1s_micro,10,"(280,)",-0.004729979581108148,0.0,0.004729979581108148,0.004729979581108148,0.0014218309269195585,0.04249012441946646,1
1s_micro,11,"(550,)",-0.004744160833583166,0.0,0.004744160833583166,0.004744160833583166,0.0013500293635193593,0.0522765525908769,1
1s_micro,12,"(48,)",-0.0047477394303494245,0.0,0.0047477394303494245,0.0047477394303494245,0.0014604760058257158,0.041993096787177144,1
